date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export
2026-03-12 00:00:00+00:00,2026,3,12,port757,Mombasa,Kenya,KEN,3,0,3,0,0,6,6,7154,0,4255,0,0,11409,11409,727,0,1910,0,0,2638,2638
2026-03-11 00:00:00+00:00,2026,3,11,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-11 00:00:00+00:00,2026,3,11,port757,Mombasa,Kenya,KEN,0,2,1,1,0,4,4,0,95325,1424,1295,0,98045,98045,0,0,0,0,0,0,0
2026-03-10 00:00:00+00:00,2026,3,10,port631,Lamu,Kenya,KEN,1,0,0,1,0,2,2,0,0,0,0,0,0,0,5326,0,0,0,0,5326,5326
2026-03-10 00:00:00+00:00,2026,3,10,port757,Mombasa,Kenya,KEN,2,0,0,1,2,3,5,21810,0,0,0,83570,21810,105381,0,0,0,0,1044,0,1044
2026-03-09 00:00:00+00:00,2026,3,9,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-09 00:00:00+00:00,2026,3,9,port757,Mombasa,Kenya,KEN,3,1,1,0,0,5,5,17889,8765,2127,0,0,28782,28782,6665,0,955,0,0,7620,7620
2026-03-08 00:00:00+00:00,2026,3,8,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-08 00:00:00+00:00,2026,3,8,port757,Mombasa,Kenya,KEN,4,1,0,0,1,5,6,47328,0,0,0,62494,47328,109822,0,0,0,0,0,0,0
2026-03-07 00:00:00+00:00,2026,3,7,port631,Lamu,Kenya,KEN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,5245,0,0,0,0,5245,5245
2026-03-07 00:00:00+00:00,2026,3,7,port757,Mombasa,Kenya,KEN,1,1,2,0,0,4,4,9881,3127,4088,0,0,17097,17097,685,0,955,0,0,1640,1640
2026-03-06 00:00:00+00:00,2026,3,6,port631,Lamu,Kenya,KEN,0,0,1,0,0,1,1,0,0,595,0,0,595,595,0,0,1414,0,0,1414,1414
2026-03-06 00:00:00+00:00,2026,3,6,port757,Mombasa,Kenya,KEN,0,1,2,0,2,3,5,0,20784,4255,0,86750,25040,111790,0,0,1910,0,0,1910,1910
2026-03-05 00:00:00+00:00,2026,3,5,port631,Lamu,Kenya,KEN,1,0,0,0,0,1,1,3567,0,0,0,0,3567,3567,1697,0,0,0,0,1697,1697
2026-03-05 00:00:00+00:00,2026,3,5,port757,Mombasa,Kenya,KEN,2,2,0,2,0,6,6,37307,112691,0,3382,0,153380,153380,0,0,0,0,0,0,0
2026-03-04 00:00:00+00:00,2026,3,4,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-04 00:00:00+00:00,2026,3,4,port757,Mombasa,Kenya,KEN,2,1,0,1,2,4,6,25798,45989,0,0,40982,71788,112770,0,0,0,0,1044,0,1044
2026-03-03 00:00:00+00:00,2026,3,3,port631,Lamu,Kenya,KEN,1,0,1,0,0,2,2,3567,0,0,0,0,3567,3567,1697,0,0,0,0,1697,1697
2026-03-03 00:00:00+00:00,2026,3,3,port757,Mombasa,Kenya,KEN,3,1,0,1,2,5,7,37699,54357,0,0,149219,92056,241275,0,0,0,0,0,0,0
2026-03-02 00:00:00+00:00,2026,3,2,port631,Lamu,Kenya,KEN,1,0,0,0,0,1,1,2850,0,0,0,0,2850,2850,0,0,0,0,0,0,0
2026-03-02 00:00:00+00:00,2026,3,2,port757,Mombasa,Kenya,KEN,1,1,1,1,1,4,5,2617,50901,1424,943,0,55886,55886,0,0,0,24,2445,24,2469
2026-03-01 00:00:00+00:00,2026,3,1,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-01 00:00:00+00:00,2026,3,1,port757,Mombasa,Kenya,KEN,2,2,0,1,1,5,6,11330,42471,0,943,24358,54746,79105,0,0,0,24,0,24,24
2026-02-28 00:00:00+00:00,2026,2,28,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-28 00:00:00+00:00,2026,2,28,port757,Mombasa,Kenya,KEN,4,0,1,0,0,5,5,35602,0,1424,0,0,37027,37027,4182,0,0,0,0,4182,4182
2026-02-27 00:00:00+00:00,2026,2,27,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-27 00:00:00+00:00,2026,2,27,port757,Mombasa,Kenya,KEN,0,1,1,0,0,2,2,0,0,1263,0,0,1263,1263,0,689,131,0,0,821,821
2026-02-26 00:00:00+00:00,2026,2,26,port631,Lamu,Kenya,KEN,1,0,0,0,1,1,2,13041,0,0,0,0,13041,13041,0,0,0,0,0,0,0
2026-02-26 00:00:00+00:00,2026,2,26,port757,Mombasa,Kenya,KEN,0,1,2,1,0,4,4,0,12727,1424,1586,0,15738,15738,0,0,263,0,0,263,263
2026-02-25 00:00:00+00:00,2026,2,25,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-25 00:00:00+00:00,2026,2,25,port757,Mombasa,Kenya,KEN,2,2,2,0,0,6,6,11560,99765,4255,0,0,115581,115581,0,0,1910,0,0,1910,1910
2026-02-24 00:00:00+00:00,2026,2,24,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-24 00:00:00+00:00,2026,2,24,port757,Mombasa,Kenya,KEN,1,0,0,0,0,1,1,32448,0,0,0,0,32448,32448,0,0,0,0,0,0,0
2026-02-23 00:00:00+00:00,2026,2,23,port631,Lamu,Kenya,KEN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-23 00:00:00+00:00,2026,2,23,port757,Mombasa,Kenya,KEN,2,0,0,0,1,2,3,29616,0,0,0,30124,29616,59741,0,0,0,0,0,0,0
2026-02-22 00:00:00+00:00,2026,2,22,port631,Lamu,Kenya,KEN,1,0,0,0,0,1,1,5452,0,0,0,0,5452,5452,0,0,0,0,0,0,0
2026-02-22 00:00:00+00:00,2026,2,22,port757,Mombasa,Kenya,KEN,2,0,2,1,0,5,5,23297,0,12585,0,0,35882,35882,0,0,0,0,0,0,0
2026-02-21 00:00:00+00:00,2026,2,21,port631,Lamu,Kenya,KEN,1,0,0,0,0,1,1,8770,0,0,0,0,8770,8770,0,0,0,0,0,0,0
2026-02-21 00:00:00+00:00,2026,2,21,port757,Mombasa,Kenya,KEN,2,3,1,0,3,6,9,32655,97345,0,0,201776,130000,331777,0,0,0,0,1113,0,1113
2026-02-20 00:00:00+00:00,2026,2,20,port631,Lamu,Kenya,KEN,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3374,0,0,3374,3374
2026-02-20 00:00:00+00:00,2026,2,20,port757,Mombasa,Kenya,KEN,1,0,0,0,3,1,4,4602,0,0,0,80909,4602,85511,0,0,0,0,1044,0,1044
2026-02-19 00:00:00+00:00,2026,2,19,port631,Lamu,Kenya,KEN,1,0,0,0,0,1,1,7931,0,0,0,0,7931,7931,0,0,0,0,0,0,0
2026-02-19 00:00:00+00:00,2026,2,19,port757,Mombasa,Kenya,KEN,0,2,0,0,0,2,2,0,36005,0,0,0,36005,36005,0,1327,0,0,0,1327,1327
2026-02-18 00:00:00+00:00,2026,2,18,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-18 00:00:00+00:00,2026,2,18,port757,Mombasa,Kenya,KEN,1,1,0,0,0,2,2,25786,9329,0,0,0,35116,35116,0,0,0,0,0,0,0
2026-02-17 00:00:00+00:00,2026,2,17,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-17 00:00:00+00:00,2026,2,17,port757,Mombasa,Kenya,KEN,3,1,0,0,2,4,6,44310,49657,0,0,93974,93967,187942,685,0,0,0,0,685,685
2026-02-16 00:00:00+00:00,2026,2,16,port631,Lamu,Kenya,KEN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,10036,0,0,0,0,10036,10036
2026-02-16 00:00:00+00:00,2026,2,16,port757,Mombasa,Kenya,KEN,1,0,1,0,0,2,2,3571,0,2127,0,0,5699,5699,0,0,955,0,0,955,955
2026-02-15 00:00:00+00:00,2026,2,15,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-15 00:00:00+00:00,2026,2,15,port757,Mombasa,Kenya,KEN,1,1,2,0,1,4,5,9881,27859,3552,0,40982,41294,82276,685,0,955,0,1044,1640,2685
2026-02-14 00:00:00+00:00,2026,2,14,port631,Lamu,Kenya,KEN,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1600,0,0,1600,1600
2026-02-14 00:00:00+00:00,2026,2,14,port757,Mombasa,Kenya,KEN,1,1,2,1,0,5,5,9380,5166,0,1529,0,16076,16076,0,0,0,0,0,0,0
