Week,Period,Average in Hours,Median in Hours,Count
45,04 November 2020 - 10 November 2020,27.43,24,7
43,21 October 2020 - 27 October 2020,24,24,1
42,14 October 2020 - 20 October 2020,30,24,8
41,07 October 2020 - 13 October 2020,38.4,48,5
40,30 September 2020 - 06 October 2020,72,72,2
35,26 August 2020 - 01 September 2020,51.43,48,7
34,19 August 2020 - 25 August 2020,36,24,4
33,12 August 2020 - 18 August 2020,33.6,24,5
32,05 August 2020 - 11 August 2020,72,72,1
30,22 July 2020 - 28 July 2020,41.14,24,7
29,15 July 2020 - 21 July 2020,37.71,24,7
28,08 July 2020 - 14 July 2020,42,36,4
27,01 July 2020 - 07 July 2020,72,72,1
26,24 June 2020 - 30 June 2020,38.4,48,5
25,17 June 2020 - 23 June 2020,72,96,3
24,10 June 2020 - 16 June 2020,32,24,6
22,27 May 2020 - 02 June 2020,24,24,1
21,20 May 2020 - 26 May 2020,39,36,8
20,13 May 2020 - 19 May 2020,48,48,1
19,06 May 2020 - 12 May 2020,48,48,1
17,22 April 2020 - 28 April 2020,24,24,2
15,08 April 2020 - 14 April 2020,40,24,3
13,25 March 2020 - 31 March 2020,24,24,2
12,18 March 2020 - 24 March 2020,72,72,1
11,11 March 2020 - 17 March 2020,37.71,24,7
9,26 February 2020 - 03 March 2020,24,24,1
8,19 February 2020 - 25 February 2020,44,48,6
7,12 February 2020 - 18 February 2020,37.71,24,7
52,25 December 2019 - 31 December 2019,24,24,2
51,18 December 2019 - 24 December 2019,39,24,8
50,11 December 2019 - 17 December 2019,48,48,3
48,27 November 2019 - 03 December 2019,24,24,1
47,20 November 2019 - 26 November 2019,38.4,24,5
46,13 November 2019 - 19 November 2019,38.4,24,5
44,30 October 2019 - 05 November 2019,36,36,2
43,23 October 2019 - 29 October 2019,28,24,6
42,16 October 2019 - 22 October 2019,61.71,48,7
34,21 August 2019 - 27 August 2019,28,24,6
33,14 August 2019 - 20 August 2019,39,36,8
32,07 August 2019 - 13 August 2019,24,24,2
29,17 July 2019 - 23 July 2019,48,48,1
28,10 July 2019 - 16 July 2019,24,24,1
25,19 June 2019 - 25 June 2019,32,24,3
24,12 June 2019 - 18 June 2019,24,24,3
22,29 May 2019 - 04 June 2019,36,36,2
21,22 May 2019 - 28 May 2019,30,24,4
19,08 May 2019 - 14 May 2019,24,24,2
18,01 May 2019 - 07 May 2019,36,36,4
17,24 April 2019 - 30 April 2019,28,24,6
16,17 April 2019 - 23 April 2019,24,24,3
15,10 April 2019 - 16 April 2019,32,24,3
13,27 March 2019 - 02 April 2019,24,24,1
12,20 March 2019 - 26 March 2019,24,24,2
11,13 March 2019 - 19 March 2019,38.4,24,5
6,06 February 2019 - 12 February 2019,40,48,3
4,23 January 2019 - 29 January 2019,56,48,3
2,09 January 2019 - 15 January 2019,41.14,24,14
